tns_name,sub_num,repeater_name,catalog1_flag,is_repeater,lof_median_rank,eif_score,knn_median_rank,cblof_score,subspace_score,cad_median_rank
FRB20181231B,0,,1,False,1335.0,0.4424365862678562,1163.0,1.353818024910026,2233.8,2665.0
FRB20181231C,0,,1,False,3711.0,0.39499824785349774,3220.0,1.141599218425135,1932.06,2984.0
FRB20190101A,0,,1,False,1592.0,0.44221986352679166,1198.0,1.4543037575554993,2090.84,2278.0
FRB20190101B,0,,1,False,2573.0,0.46096527833740375,1616.0,0.9669238928341862,724.26,3965.0
FRB20190102A,0,,1,False,3039.0,0.38115453874079236,3277.0,1.1619636589713298,929.46,2935.0
FRB20190102B,0,,1,False,2605.0,0.4243271023221212,2196.0,1.65287984769295,2026.2,2125.0
FRB20190103B,0,,1,False,1208.0,0.4226359307734987,1053.0,1.225300759526736,2355.0,1165.0
FRB20190103C,0,,1,False,741.0,0.44888591993905186,836.0,1.8427340687249052,3182.38,1898.0
FRB20190103A,0,FRB20181119A,1,True,3036.0,0.4556669826748132,1730.0,1.0470198056338265,1798.2,2679.0
FRB20190103D,0,,1,False,458.0,0.5231779366220142,635.0,2.186658486648325,3141.0,1321.0
FRB20190103E,0,,1,False,3896.0,0.4066538865508048,3494.0,0.8869188118417035,1719.04,1731.0
FRB20190104A,0,,1,False,3960.0,0.38391678443228494,3673.0,0.9627408260711737,599.06,3457.0
FRB20190104A,1,,1,False,140.0,0.49695305689990044,239.0,2.896682242107717,2557.8,746.0
FRB20190104B,0,,1,False,16.0,0.592459084665762,14.0,4.450908690245127,3733.94,75.0
FRB20190105A,0,,1,False,2545.0,0.4327108683349023,1992.0,0.8976124398334066,1539.04,2372.0
FRB20190106A,0,,1,False,2015.0,0.46096279836902354,1305.0,1.6905880296784606,2957.78,1588.0
FRB20190106B,0,,1,False,3283.0,0.3996281065464462,3410.0,0.8503790962574197,896.38,3386.0
FRB20190107A,0,,1,False,107.0,0.5503921463323185,93.0,2.651528816727045,3779.44,314.0
FRB20190107B,0,,1,False,501.0,0.4815135645846555,634.0,2.1079198534684873,3089.22,446.0
FRB20190109A,0,,1,False,1974.0,0.4081242552151636,1819.0,1.4479010530649188,2357.72,1792.0
FRB20190109A,1,,1,False,849.0,0.4300856562933431,796.0,2.156586132980115,3013.84,1026.0
FRB20190109B,0,,1,False,836.0,0.42109203348722146,1664.0,1.6183643234286285,3287.02,1669.0
FRB20190110A,0,,1,False,214.0,0.46456291719409626,468.0,2.232209235548604,3884.86,429.0
FRB20190110B,0,,1,False,3791.0,0.4123428041230096,3368.0,1.2334076146221176,960.38,3043.0
FRB20190110C,0,FRB20190110C,1,True,2638.0,0.3974119881664572,3069.0,1.1137674233237636,2673.18,3171.0
FRB20190111A,0,,1,False,582.0,0.5065732094644353,231.0,2.593713307843765,3480.94,479.0
FRB20190111A,1,,1,False,1034.0,0.4661642171505225,476.0,2.450466078301253,3135.66,508.0
FRB20190111A,2,,1,False,556.0,0.5001999111239155,394.0,1.9525014748573726,2948.48,733.0
FRB20190111B,0,,1,False,1056.0,0.42982636248686845,1101.0,2.1568712127779484,2731.84,2163.0
FRB20190112A,0,,1,False,1834.0,0.4300129706563792,1195.0,1.899906582330999,1625.92,2888.0
FRB20190113A,0,FRB20190113A,1,True,3162.0,0.4215704871139963,1727.0,1.254957279481499,1494.94,3659.0
FRB20190114A,0,,1,False,3061.0,0.4096830199729343,3507.0,0.7227723272558645,1399.68,2429.0
FRB20190115A,0,,1,False,3311.0,0.4323419259814353,3035.0,1.1689117530507496,805.64,2996.0
FRB20190115B,0,,1,False,3410.0,0.39909101612773945,2737.0,1.493487111635346,1467.82,2634.0
FRB20190116E,0,,1,False,1158.0,0.45750830168730006,1348.0,1.5095984279295929,2441.06,3219.0
FRB20190116D,0,,1,False,2810.0,0.4326355295910629,2282.0,1.4681466474168077,1040.3,3791.0
FRB20190116A,0,FRB20190116A,1,True,2221.0,0.41904174825995055,1587.0,1.5480265266748867,1732.62,2042.0
FRB20190116B,0,FRB20190116A,1,True,4007.0,0.369478176828565,4022.0,1.1510595115471633,491.58,3432.0
FRB20190116C,0,,1,False,84.0,0.6071011610034807,10.0,4.303295464795798,3751.74,14.0
FRB20190116F,0,,1,False,2136.0,0.4316225206099212,1496.0,1.1380660402932972,1726.72,2238.0
FRB20190117C,0,,1,False,2121.0,0.42892601905079747,1911.0,1.5292453203063257,1768.54,2666.0
FRB20190117D,0,,1,False,1603.0,0.40987973877175893,1943.0,1.621018066173916,2950.38,3441.0
FRB20190117A,0,FRB20190117A,1,True,1849.0,0.4043473841152956,1552.0,1.3199682111163185,1859.28,1269.0
FRB20190117A,1,FRB20190117A,1,True,2028.0,0.39706813327880636,1601.0,0.9483038781962808,1847.32,1455.0
FRB20190118B,0,,1,False,2031.0,0.4185111492893933,1473.0,1.2522880804958219,2861.06,3054.0
FRB20190118A,0,,1,False,1782.0,0.49900359000865846,408.0,2.346594631305482,1985.46,120.0
FRB20190121A,0,,1,False,2802.0,0.39952501861902423,2387.0,1.0841246714033768,1027.98,1198.0
FRB20190122B,0,,1,False,867.0,0.4344875273463607,1214.0,1.8536929515495213,3161.74,762.0
FRB20190122C,0,,1,False,968.0,0.4819500306157392,398.0,2.5272191577005256,2384.58,200.0
FRB20190122C,1,,1,False,468.0,0.4946602590749167,170.0,2.8739271075479267,3159.86,97.0
FRB20190122A,0,,1,False,722.0,0.5006623935623506,493.0,1.8886591589521184,2602.1,2101.0
FRB20190124A,0,,1,False,1177.0,0.4194392814926658,1374.0,1.8359792678095928,1723.54,2557.0
FRB20190124B,0,,1,False,2273.0,0.4040153920569275,1837.0,0.8597531383493008,1653.42,551.0
FRB20190124C,0,,1,False,1676.0,0.43436498761647724,1043.0,1.5719684956375937,2111.36,614.0
FRB20190124C,1,,1,False,801.0,0.43750402591529247,549.0,2.1525662616797363,2854.48,425.0
FRB20190124D,0,,1,False,2570.0,0.38538973636020574,2609.0,1.2784249264298384,1219.0,2654.0
FRB20190124E,0,,1,False,1085.0,0.4354553776946025,965.0,1.9910624350241166,2301.44,1481.0
FRB20190124F,0,,1,False,1290.0,0.4287971771182362,792.0,1.5665395439693872,2516.96,770.0
FRB20190125A,0,,1,False,3875.0,0.4185582765108698,2616.0,1.1762114050501369,709.12,2885.0
FRB20190126A,0,FRB20180916B,1,True,2594.0,0.4133737719167211,2127.0,1.0393173266111868,2028.26,1142.0
FRB20190127B,0,,1,False,1369.0,0.42403018087950217,1301.0,1.6876967566308596,2050.86,1358.0
FRB20190128A,0,,1,False,2964.0,0.42801061632755283,2786.0,1.2719139128237458,393.76,3127.0
FRB20190128B,0,,1,False,934.0,0.3957561167212866,1555.0,1.425063814477765,2923.14,1951.0
FRB20190128C,0,,1,False,1569.0,0.40372976399590543,2063.0,1.2103679688464752,2514.3,1678.0
FRB20190128D,0,,1,False,2993.0,0.38154474403328187,3032.0,1.3189708316197402,1531.96,3256.0
FRB20190129A,0,,1,False,3157.0,0.4363085793921619,2022.0,1.1638515258315536,1099.4,2971.0
FRB20190130A,0,,1,False,1829.0,0.421480246690597,2438.0,1.1776642109361588,1453.62,3387.0
FRB20190130B,0,,1,False,301.0,0.4625418468475657,893.0,2.2614272058890554,3128.58,821.0
FRB20190131E,0,,1,False,3323.0,0.400372600716614,3440.0,1.0127312717932249,984.08,2493.0
FRB20190131D,0,,1,False,2663.0,0.41650646893298804,2321.0,0.7809115226910488,1946.74,2000.0
FRB20190131D,1,,1,False,2586.0,0.42019617312278223,2347.0,0.7801622281026686,1370.86,2530.0
FRB20190131C,0,,1,False,2851.0,0.41679962392936853,2768.0,1.3422251371679912,1838.68,2516.0
FRB20190131B,0,,1,False,1807.0,0.47515158425687287,1030.0,1.3766471936551805,2037.9,3980.0
FRB20190201B,0,,1,False,3335.0,0.39794199982555256,2781.0,1.054954316622042,1325.28,3381.0
FRB20190201A,0,FRB20181226F,1,True,1716.0,0.4352850217819084,2001.0,1.3619273854038487,1999.86,580.0
FRB20190202A,0,,1,False,92.0,0.6458376500627999,11.0,6.118890036242926,3495.22,3.0
FRB20190203B,0,,1,False,3457.0,0.41945508188306646,3019.0,1.3178171255885327,1631.5,2531.0
