Name,is_repeater,RpName,DMfitb,Widthfitb,Scat,Flux,Fluence,SpInd,spRun,Fpk,Bandwidth
FRB20190224A,False,-9999,818.4,0.00204,0.00577,0.63,8.5,2.6,-60.0,408.9,97.30000000000001
FRB20190224B,False,-9999,839.3674,0.000639,0.00075,2.0,4.5,2.2,-6.6,472.7,400.00000000000006
FRB20190224C,False,-9999,497.4,0.00029,0.00948,1.37,7.9,7.6,-6.1,747.4,395.50000000000006
FRB20190224D,False,-9999,752.9522,0.000673,0.00072,2.75,6.1,6.96,-12.3,531.6,400.00000000000006
FRB20190224E,False,-9999,435.8612,0.000549,0.00057,2.03,4.0,2.22,-8.64,454.9,362.00000000000006
FRB20190226A,False,-9999,601.5727,0.000453,0.00049,1.45,1.42,2.21,-4.0,527.9,400.00000000000006
FRB20190226B,False,-9999,631.603,0.004,0.0049,0.38,2.38,29.9,-39.3,585.2,285.9
FRB20190226C,False,-9999,827.77,0.00131,0.0015,0.39,1.41,6.6,-42.0,433.3,148.09999999999997
FRB20190227A,False,-9999,394.0388,0.001296,0.0013,3.58,12.5,1.74,-2.15,599.9,400.00000000000006
FRB20190227B,False,-9999,331.2289,0.000403,0.00047,0.48,0.71,-0.5,-0.8,400.2,400.00000000000006
FRB20190228A,False,-9999,419.0825,0.00225,0.01891,1.79,35.8,52.6,-51.9,664.7,261.80000000000007
FRB20190228B,False,-9999,1115.2461,0.00097,0.01459,4.8,66.0,5.84,-14.5,489.5,328.90000000000003
FRB20190301B,False,-9999,621.333,0.00132,0.0016,0.4,0.85,-1.5,-13.4,400.2,175.3
FRB20190301C,False,-9999,802.913,0.00124,0.0084,0.34,2.32,-2.4,0.7,400.2,400.00000000000006
FRB20190301D,False,-9999,1160.692,0.00036,0.000535,0.39,1.5,3.6,-29.4,425.4,162.50000000000006
FRB20190301A,True,FRB20190222A,459.5613,0.001471,0.00156,1.83,8.6,68.9,-87.9,592.1,192.39999999999998
FRB20190301A,True,FRB20190222A,459.5613,0.00124,0.00156,1.83,8.6,69.0,-99.0,568.3,174.3
FRB20190302A,False,-9999,1034.239,0.0071,0.0902,0.56,35.0,-4.35,2.99,400.2,400.00000000000006
